participant,block,wpm,error_rate,mean_hold_ms,std_hold_ms,mean_flight_ms,std_flight_ms,mean_speed_norm,jitter,calibration_wpm,kss_sleepiness,mental_demand,temporal_demand,performance,effort,frustration,attentiveness,nasa_tlx_composite,score_0_100,cognitive_level
3,10,15.269186842602828,0.0061728395061728,183.3768396843904,204.77785587878296,937.9007558176831,721.1822623085363,0.5138011138551714,0.1510343028025755,1.8953181206234515,5.0,3.0,3.0,4.0,3.0,1.0,3.0,2.8,30.0,LOW
44,11,36.10519788392253,0.0014821139265727,128.6128299992564,130.21007103904404,523.5199990633133,421.1929533196567,0.782585237695006,0.0965875047927887,3.8252142947550487,2.0,2.0,2.0,5.0,3.0,1.0,4.0,2.5,25.0,LOW
62,9,22.716291874348453,0.0509200068172291,366.4423204683561,369.4886235169189,1394.9650384585657,913.4932222548003,0.65,0.4465814434806304,2.3505658498025523,7.0,7.0,4.0,1.0,5.0,6.0,4.0,5.5,75.0,HIGH
75,25,17.687658004709313,0.0520675671306294,198.69369742716108,298.2149803767184,751.6980860826138,759.9298837294032,0.6481132613305498,0.1549458207413972,3.722004313925991,5.0,6.0,4.0,5.0,3.0,3.0,4.0,4.2,53.3,MEDIUM
73,20,30.44870859787997,0.1,207.4599229547384,217.3266728799177,810.0133550897153,759.1614039036925,0.7101610994987313,0.1412588881174895,2.781512067254036,7.0,4.0,3.0,4.0,5.0,3.0,4.0,3.8,46.7,MEDIUM
37,16,26.361420117937687,0.06,106.82239657673202,122.15505281115328,477.3849154576486,366.4970545691626,0.841067107802528,0.0875580805715637,3.571060550648521,2.0,1.0,2.0,6.0,2.0,1.0,5.0,2.4,23.3,LOW
76,23,21.150210823983294,0.0768087876005572,105.4973506523618,149.1587945114785,644.8499171495553,610.2055055086131,0.6192875812604022,0.3177196623081287,2.967296365154267,4.0,6.0,3.0,5.0,3.0,4.0,3.0,4.2,53.3,MEDIUM
44,18,41.14261974607936,0.0460868734446556,184.4983297600085,67.03574002943982,675.6495198990717,269.2883214365512,0.7570023094355331,0.1169091751399098,3.8743770565206255,2.0,3.0,3.0,5.0,1.0,1.0,4.0,2.5,25.0,LOW
10,14,43.302764232112814,0.0159574468085106,404.4030936623451,352.9342175264589,931.8100558574624,679.0259286688961,0.9236815385346632,0.386257357534071,3.8097184611361854,6.0,6.0,1.0,7.0,1.0,1.0,7.0,3.2,36.7,LOW
39,7,37.24589956597954,0.0317301036551952,99.34738601537175,47.927089911156095,593.724632584226,504.7851626300124,0.7985237460222656,0.1289987137773653,3.5004188744330147,1.0,2.0,1.0,4.0,1.0,1.0,6.0,1.8,13.3,LOW
61,18,16.143598364530735,0.0900003904678604,257.94886413878174,475.0,1260.512327922117,806.4736474930463,0.34,0.4217126979930827,2.0156479374405727,8.0,7.0,7.0,4.0,5.0,5.0,2.0,5.6,76.7,HIGH
9,0,10.225102460816135,0.027887695496514,119.2991065607288,134.40078252104777,525.9134851386856,568.5635290089449,0.533780512139236,0.0890733854112618,2.527389235882727,1.0,1.0,4.0,5.0,3.0,2.0,7.0,3.0,33.3,LOW
8,18,26.105445384961182,0.0211019985536782,305.79346214089355,347.6664925548043,1347.2156543852193,946.3590124054448,0.7260273081089016,0.3118958096067509,2.1519833970177884,5.0,4.0,4.0,5.0,2.0,4.0,5.0,3.8,46.7,MEDIUM
60,17,12.575630834812651,0.0792606851975045,362.9829505912504,250.7701764449974,1039.7761332693483,909.2031145669782,0.34,0.4407570560887094,2.31085653166128,8.0,6.0,6.0,3.0,5.0,5.0,3.0,5.5,75.0,HIGH
41,0,46.54777244791231,0.0495202163097296,86.0,58.6355544188116,711.8844719667973,471.1398996174372,0.7822519928179362,0.0340237712687031,3.6346828767025214,4.0,3.0,3.0,7.0,1.0,2.0,5.0,2.5,25.0,LOW
51,24,11.998228154547636,0.1369014591470859,244.8141644836988,275.6846476055021,1391.150926787609,876.4446057192389,0.5105815385283368,0.2565014335547075,1.6606185635201975,7.0,5.0,6.0,3.0,6.0,5.0,3.0,5.5,75.0,HIGH
67,8,8.586320589879982,0.16,456.1681714970629,308.1740472115403,1467.9011912049582,853.760124493829,0.420819700430982,0.3117706682914686,2.313322176778221,9.0,6.0,6.0,2.0,6.0,6.0,3.0,5.5,75.0,HIGH
63,9,11.256128547202312,0.0880924486046132,355.35406094956016,371.7749708527569,1479.4382402210304,962.8213655429814,0.3506992251933284,0.4086690813100488,1.8673981962349715,6.0,6.0,7.0,3.0,7.0,6.0,2.0,5.8,80.0,HIGH
34,18,29.324895422133068,0.06,134.2979481078927,51.41326690765754,537.2535801719421,315.1572357465474,0.8103101529616139,0.0674759969007878,3.4956545013207214,3.0,2.0,2.0,6.0,2.0,2.0,4.0,2.5,25.0,LOW
11,4,28.625682681740425,0.1242818440347067,133.76074505455475,164.0550859236496,515.9460785616441,625.4307832142057,0.7073853950956435,0.186008989713718,2.316286075955209,6.0,5.0,5.0,5.0,2.0,4.0,4.0,4.2,53.3,MEDIUM
68,19,13.713166901763936,0.1384187134191752,207.4457411377283,413.353403110146,1616.0,913.81055170054,0.3696529794104237,0.4219043556909609,1.1,7.0,7.0,6.0,2.0,6.0,6.0,2.0,5.5,75.0,HIGH
65,8,17.242144654070223,0.16,253.3963683571993,313.1724566831517,1200.9335388139298,773.6041918763176,0.5249082036168263,0.3538661083132001,2.60178502301008,8.0,7.0,5.0,3.0,6.0,7.0,3.0,5.6,76.7,HIGH
67,1,12.631538791123182,0.16,279.89051651911666,306.79356281368496,1177.422931948445,959.8013424721812,0.34,0.4186465241665749,2.1595584563234054,9.0,7.0,5.0,1.0,7.0,7.0,2.0,5.5,75.0,HIGH
10,21,44.331401554005616,0.0097635184263509,451.7759250908991,414.8657143551253,1143.2340397371258,772.8427523070453,0.7825702984753836,0.2853110120428586,3.8097184611361854,6.0,7.0,1.0,7.0,7.0,1.0,7.0,4.6,60.0,MEDIUM
63,4,20.62141596034994,0.1254243287619092,372.2474895276332,270.949476296122,1068.82806245534,982.0,0.4001353082176248,0.3981246933013103,2.135871570675452,7.0,6.0,5.0,2.0,6.0,7.0,3.0,5.5,75.0,HIGH
60,7,7.507840154517376,0.1036736196729184,239.3637014167317,247.63863158008127,1616.0,859.0297239118228,0.5387511874153486,0.2922453772110514,2.7475390118914875,8.0,6.0,6.0,1.0,6.0,6.0,3.0,5.5,75.0,HIGH
86,10,25.895751025845545,0.0322809560910805,172.67855807235384,87.13788821677912,975.3425970728358,705.2390088719145,0.6161024323960933,0.3428660203177547,3.300813257031729,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,50.0,MEDIUM
55,15,19.460302083900466,0.0975666315742031,287.3912980452081,421.9533250548102,1616.0,835.305521150019,0.34,0.3326159349655906,2.627069935070122,7.0,7.0,5.0,3.0,5.0,7.0,2.0,5.5,75.0,HIGH
3,24,23.952829717581302,0.0401293744409773,185.25976339811817,208.07719182204147,1310.172016869407,672.8128405507305,0.5941481888327612,0.1881117184013719,1.8953181206234515,2.0,3.0,7.0,7.0,1.0,1.0,3.0,3.8,46.7,MEDIUM
59,12,18.79135202002662,0.04,218.08774217752008,260.3050317885517,1239.7923148609952,924.3032003876656,0.4838310358143731,0.3917419162210282,1.8961768700852124,7.0,6.0,7.0,3.0,6.0,5.0,4.0,5.5,75.0,HIGH
61,1,16.49741263644499,0.16,364.51102522822345,326.6690441560732,896.4521058160537,822.4837828314911,0.52715841917546,0.2993631182348891,2.140291139198321,8.0,5.0,6.0,2.0,6.0,6.0,3.0,5.5,75.0,HIGH
70,25,23.750900679734023,0.0432678899381662,229.5107456848875,250.9959572349103,651.2844877018022,692.1671108690005,0.7803557208158713,0.2953254545716938,1.6427419705548232,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.4,56.7,MEDIUM
76,2,41.55189828408309,0.0934847364695434,203.83680578012252,323.20570400959195,745.2828275209207,762.0359023014537,0.7004536230580812,0.2630284480949353,2.472482203881586,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.2,53.3,MEDIUM
24,12,24.51298199424801,0.0543716062417727,296.6262895334468,296.8103430801374,996.3807357905908,763.6711346408707,0.5340757667368158,0.1804745273376521,2.443133407170146,6.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,33.3,LOW
4,20,56.177856492082,0.0297322982072467,128.9722668990227,191.1619828908791,479.4204658326579,659.8425590089603,0.7957647171227213,0.329423865859466,3.63828038537122,7.0,1.0,4.0,7.0,3.0,1.0,3.0,3.2,36.7,LOW
55,7,15.258061265501784,0.16,400.3093682563442,318.8498237480793,1572.4991065892866,765.2374602029964,0.6255561043759666,0.3713708758961099,2.504761859929772,7.0,7.0,6.0,2.0,7.0,5.0,2.0,5.5,75.0,HIGH
68,3,9.359374192210948,0.16,427.4668573525103,324.6541277109044,1077.9807803804786,864.9489859076332,0.382187912686768,0.47,1.3144971968594137,8.0,7.0,6.0,3.0,6.0,6.0,2.0,5.6,76.7,HIGH
60,2,12.277413806500835,0.16,422.7251364977352,247.96738486893275,1037.8255201437366,933.1876326472452,0.5767309106129881,0.3606684154192401,1.9575232996460437,8.0,6.0,6.0,2.0,6.0,5.0,2.0,5.5,75.0,HIGH
34,16,28.489895565417196,0.024553871437745,104.20558773450682,97.39817309124764,250.0,355.03943673983355,0.7181443906525699,0.1545698437749958,3.358467984973035,2.0,3.0,1.0,7.0,3.0,1.0,7.0,2.5,25.0,LOW
33,15,41.0796077288469,0.017201239128651,147.15861564508796,139.31664825847048,467.65114827108994,443.4646187704759,0.7729632759215058,0.0874797993665289,3.7684049708844,5.0,2.0,3.0,5.0,2.0,1.0,6.0,2.5,25.0,LOW
79,25,25.74358318759498,0.0916780740358441,277.32638704710484,142.4980543417861,1307.3789841850971,541.8279837806224,0.6196796835519719,0.2790838941019706,3.118764443376441,5.0,5.0,3.0,6.0,5.0,4.0,4.0,4.6,60.0,MEDIUM
47,1,37.60059271210998,0.06,112.33232823308025,90.6859713553766,250.0,273.41085049664616,0.6315183448090569,0.068525234685168,3.338770455597542,4.0,2.0,3.0,7.0,2.0,1.0,6.0,2.5,25.0,LOW
56,25,16.92097472088014,0.16,180.0,269.22111915618154,1021.1956524181212,816.5670357695475,0.5184985027111065,0.47,1.9110671132185095,6.0,6.0,5.0,3.0,7.0,6.0,2.0,5.5,75.0,HIGH
3,20,10.516682926209858,0.0949617273166042,253.55025353529683,296.41683556678066,1061.1423877875898,763.1026028193904,0.6139469656967073,0.1970624775706487,1.8953181206234515,5.0,4.0,6.0,6.0,1.0,1.0,3.0,3.6,43.3,MEDIUM
89,2,31.77331905282498,0.1,191.3857744305813,274.68458807739466,855.9705455758701,658.8045404759806,0.4099369698481024,0.3382071507572548,2.7265629827368003,7.0,4.0,3.0,6.0,3.0,4.0,5.0,4.0,50.0,MEDIUM
71,9,24.31830871741745,0.0244265820983051,219.28975361378937,325.5292843121132,675.1490212251991,400.48039105038464,0.5243467924266894,0.1748380475053465,2.3858572049679685,5.0,4.0,6.0,4.0,3.0,4.0,4.0,4.2,53.3,MEDIUM
11,22,29.29894181408288,0.0924782807904448,172.15234112295863,235.2414674642157,610.544762739334,611.06567162859,0.8709259434798043,0.3843757737656474,2.316286075955209,7.0,4.0,4.0,6.0,2.0,3.0,3.0,3.8,46.7,MEDIUM
82,15,30.999078410943635,0.0278902316523789,213.74382899680157,234.9361364161005,767.6138011869665,884.5809539768878,0.7070246816768496,0.1595509034235009,2.199304728512497,6.0,4.0,4.0,3.0,5.0,3.0,4.0,3.8,46.7,MEDIUM
81,12,16.063684922042683,0.0798091515914871,192.2723945259045,304.8068192159011,712.6607044374598,876.0431239898098,0.7771007061872621,0.0774278772650202,2.954475187962236,6.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,50.0,MEDIUM
77,16,31.418090754088297,0.0213913209694968,174.3790589327589,182.0139442373169,853.6799005757204,683.1281322190202,0.5258147448869624,0.3034903308316051,1.8492842262176568,6.0,4.0,4.0,3.0,4.0,4.0,4.0,3.8,46.7,MEDIUM
34,0,36.56310868934833,0.0180900214349907,134.00678551973894,99.29608282977448,323.41323381158014,453.5845672885824,0.7183456592262267,0.1337148647237084,3.171995518944199,3.0,2.0,2.0,5.0,1.0,3.0,5.0,2.5,25.0,LOW
40,11,34.74867986892308,0.0062334023350726,213.0684530343609,30.624569502043958,653.6953578848324,635.3467927170877,0.809741411244229,0.0438793847226947,3.454972037212804,4.0,3.0,2.0,4.0,3.0,1.0,6.0,2.5,25.0,LOW
46,1,48.82868711655518,0.0231228004500426,139.452971281128,134.63268012719277,349.8613594105089,468.716181782567,0.8423696816588719,0.0951616931434894,4.3,1.0,2.0,1.0,5.0,1.0,2.0,4.0,2.2,20.0,LOW
8,16,23.212808323632803,0.0212565372969997,264.04087274901485,291.374582802667,1373.1956358402094,749.1630537135919,0.6677168648925796,0.2333164597566776,2.1519833970177884,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.2,53.3,MEDIUM
56,5,12.317770488331776,0.0518165957784042,340.91208981107974,442.1852175703647,1279.0219586530116,600.4946766743232,0.5101302595158731,0.2755505942471776,1.8521479547521216,6.0,6.0,5.0,2.0,6.0,6.0,3.0,5.5,75.0,HIGH
23,18,40.55160791682104,0.0488041163631937,328.91028080953834,333.8595008466649,1045.658771874114,820.0166090052029,0.4864898540776177,0.0970651512881479,3.1061619578111657,7.0,4.0,3.0,6.0,5.0,2.0,5.0,4.0,50.0,MEDIUM
39,10,43.34660814486398,0.0085867068627273,86.0,66.4457556194993,265.57526424547973,337.3034156453059,0.8141415137774004,0.0849569785452036,3.553895217407021,2.0,1.0,3.0,5.0,3.0,1.0,7.0,2.5,25.0,LOW
47,25,51.78932576626637,0.05706645525801,127.49013264125298,109.24039909022056,271.4231349554108,402.98808088698416,0.5,0.1257527341423033,2.4769281048663974,2.0,3.0,1.0,5.0,2.0,2.0,5.0,2.5,25.0,LOW
43,24,32.76682847945763,0.0134204412680617,122.9009005162565,80.39446607042483,747.8431122931959,611.3786040068424,0.7822604297208037,0.1114726982639146,3.419545528863352,2.0,1.0,3.0,5.0,3.0,2.0,5.0,2.5,25.0,LOW
51,22,13.17397439634238,0.0878889917345999,495.7475159606973,338.4238731755425,1112.312059164799,982.0,0.3555043070072632,0.2844575580871323,2.19068301890544,5.0,6.0,6.0,3.0,5.0,6.0,1.0,5.5,75.0,HIGH
82,21,19.33800568750127,0.1,200.13120493719688,158.23849927583404,1259.5155351690378,558.7244351588378,0.544679609569701,0.2819789712038766,2.0025768536419344,7.0,3.0,5.0,3.0,4.0,4.0,2.0,3.8,46.7,MEDIUM
16,12,20.55601233723943,0.0394792121533712,146.85813047921982,74.89128295533477,369.9642741186592,386.7678197484459,0.6334350331144208,0.2560940337298151,2.884624444839292,9.0,1.0,3.0,5.0,2.0,2.0,3.0,2.6,26.7,LOW
2,23,19.80797048871735,0.0531924909149108,226.1225496912564,233.51450615134613,1407.362483048728,809.8172471324847,0.669867882232287,0.3446397494880997,2.979001299733391,8.0,5.0,5.0,5.0,5.0,6.0,5.0,5.2,70.0,MEDIUM
18,13,18.46661422001452,0.0215734172553294,168.34945194432163,151.74302641565842,797.8463366835656,736.5235150375606,0.6297269015933594,0.0981939052250306,2.2214160399698883,5.0,4.0,2.0,6.0,2.0,2.0,6.0,3.2,36.7,LOW
77,9,27.63470494381252,0.0568845056443036,201.91170036335168,192.6399393185944,988.7855095531544,591.2880901398279,0.6053696040277126,0.1332757910834292,3.3356388781220287,5.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,50.0,MEDIUM
9,10,23.032862901858586,0.0414506092818252,103.43325977192112,124.69511286772008,463.21165024022736,526.6517258850304,0.6979401481676897,0.2437364127324729,2.527389235882727,9.0,1.0,4.0,6.0,1.0,1.0,3.0,2.6,26.7,LOW
52,14,10.042448495211492,0.1001147483047298,313.22580566207307,304.92187582652645,1134.2417893830482,981.0436414893372,0.4236451776899369,0.18,1.40766009990423,8.0,5.0,7.0,3.0,6.0,4.0,2.0,5.5,75.0,HIGH
80,21,20.083202571197628,0.1,240.44020756791352,339.2524468631836,750.3329244877315,648.7896954618889,0.6290838060668927,0.0769694989908864,3.8704021879045936,3.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,50.0,MEDIUM
58,6,11.273742656662204,0.16,372.6563421960903,286.1325800126578,942.230046016201,725.289652729454,0.4300091072828575,0.47,1.3895228608701156,8.0,6.0,5.0,3.0,7.0,6.0,3.0,5.5,75.0,HIGH
57,24,7.9159843688245,0.1135054543944605,352.76408576076454,404.34134077459487,802.3625137578598,787.4089252242659,0.5056808393888292,0.3192958784382119,1.7203045372472878,7.0,6.0,5.0,3.0,7.0,5.0,2.0,5.5,75.0,HIGH
63,8,13.806979520615537,0.0936051124504981,431.7134452014949,437.4351149079392,1141.615895860354,600.0,0.5079764728127356,0.47,1.4857174257756751,8.0,7.0,7.0,3.0,6.0,7.0,3.0,6.0,83.3,HIGH
16,15,18.111714850980487,0.0291043460138828,136.14002619865985,42.92888593157566,324.20389117793724,246.19790632044223,,,2.884624444839292,9.0,1.0,2.0,6.0,1.0,5.0,3.0,3.0,33.3,LOW
11,1,17.146410975155412,0.0460513705194556,136.31027928119374,154.26041765043388,471.4614208683961,541.1678752584627,0.7263863583694892,0.252469138678004,2.316286075955209,4.0,4.0,5.0,6.0,1.0,3.0,3.0,3.8,46.7,MEDIUM
20,21,14.365308617496993,0.0258999409874762,98.48438852023934,65.15657018837572,321.79793808042194,299.56418533452444,0.6085072548553343,0.2431789738516555,3.0937390768190154,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.2,53.3,MEDIUM
60,3,19.99325794925944,0.16,329.9904588640598,243.5363565471982,1222.0134898092308,982.0,0.3564220948010838,0.2844624951271941,2.1157166653521804,8.0,7.0,6.0,2.0,6.0,6.0,3.0,5.5,75.0,HIGH
71,2,34.82008435113495,0.0565734405136781,259.84390800600283,242.0981399619961,673.7213233332702,852.1425605165625,0.5583067321105276,0.3688321788965412,2.348786841542449,4.0,4.0,5.0,6.0,4.0,4.0,2.0,4.6,60.0,MEDIUM
75,13,29.55582106802236,0.1,229.42147525564783,396.6114806553145,561.3657541172187,706.7413748268461,0.5774779460646657,0.2756780546627035,2.508769730602395,5.0,3.0,5.0,4.0,3.0,4.0,5.0,3.8,46.7,MEDIUM
62,7,20.01086915715448,0.1266510687699593,365.0891897146721,186.9889900011596,821.7571235109053,959.7451558052242,0.6105493019098306,0.2624206131877828,2.017502878076169,9.0,6.0,6.0,4.0,7.0,7.0,2.0,6.0,83.3,HIGH
38,3,39.268317528613714,0.0416774614004492,141.49163044145456,68.72839081066688,475.6982568487801,539.6816709096124,0.7474154662145213,0.1075526609344678,3.103379874970122,2.0,1.0,3.0,6.0,3.0,1.0,7.0,2.5,25.0,LOW
36,14,41.895779846284654,0.0281093563722885,157.50609938036052,137.40435044091134,255.6509623686949,438.7141986770216,0.7155146021638749,0.1277728940847305,3.2659263693893337,4.0,1.0,2.0,5.0,1.0,2.0,5.0,2.2,20.0,LOW
66,5,10.119428549013753,0.0648712841619164,430.67200602992426,221.2641882886948,811.2351745889697,600.0,0.4592096805259781,0.443584188011789,2.8377858009584926,7.0,5.0,6.0,1.0,5.0,6.0,2.0,5.5,75.0,HIGH
23,16,38.93439702985244,0.0384264567136015,305.4084012694777,330.35914669623446,1060.040247399633,828.3758747925592,0.5144245541179326,0.0842864432575443,3.1061619578111657,8.0,3.0,3.0,6.0,4.0,2.0,5.0,3.6,43.3,MEDIUM
19,6,30.033406398521336,0.0019083969465648,114.96441414476608,89.19683785601812,417.311556785069,452.43366385940953,0.8153875596508449,0.2132062655637938,3.016501100438831,9.0,5.0,7.0,4.0,6.0,7.0,4.0,5.8,80.0,HIGH
54,7,16.671570641359907,0.16,417.8067279706537,329.5059665752573,1340.0611225193747,982.0,0.34,0.4066668944198297,1.609727814804351,9.0,6.0,7.0,3.0,6.0,6.0,3.0,5.6,76.7,HIGH
76,17,21.1270883410066,0.0174543625289683,111.58079013168792,229.5139796338494,631.2291777562824,595.9308453991481,0.5917131088043718,0.2205892180568264,2.287220834697466,5.0,4.0,4.0,4.0,6.0,3.0,6.0,4.2,53.3,MEDIUM
9,18,25.99415435727217,0.1042536027568922,146.9440223786186,210.3487809414498,502.3427559452002,574.6142339738254,0.580269663482908,0.1287534785368784,2.527389235882727,9.0,4.0,3.0,4.0,3.0,3.0,2.0,3.4,40.0,LOW
36,18,25.0,0.06,116.84320518666492,94.0265905171401,354.6929566727945,434.054099491804,0.8386168754215485,0.1588630766918766,3.556438152864856,4.0,2.0,3.0,6.0,1.0,2.0,3.0,2.5,25.0,LOW
63,19,15.277015556357094,0.0928440481423738,182.0589557644958,384.2700176951601,1563.7181029705994,600.0,0.5186238283017925,0.2508646155583859,2.253404009458324,7.0,5.0,7.0,3.0,6.0,5.0,3.0,5.5,75.0,HIGH
40,18,35.37179821501685,0.035373927971872,116.073208366533,104.6072353261116,638.675215219336,401.7921070651483,0.8412556420713687,0.0802325232359332,3.1677209053592907,2.0,2.0,2.0,4.0,2.0,2.0,5.0,2.4,23.3,LOW
2,6,23.869561267614703,0.0658007019016193,210.1325483962193,276.82102871388054,751.0172978715806,707.1589832862445,0.5971524548479529,0.2365791355567452,2.979001299733391,7.0,4.0,5.0,6.0,4.0,4.0,5.0,4.6,60.0,MEDIUM
51,9,15.564706682449808,0.1375023811681119,378.2873486150703,143.38822058930134,1139.229174520997,811.6548396960303,0.3799482901653381,0.3600390783729528,2.3003245428142662,6.0,6.0,4.0,2.0,6.0,7.0,3.0,5.5,75.0,HIGH
37,8,39.7846379410022,0.0268205566263093,127.59631008979474,138.9863076280081,426.2986041163466,552.9873248418431,0.7910202953821703,0.054681123755441,3.042159904885273,4.0,1.0,2.0,6.0,2.0,2.0,4.0,2.5,25.0,LOW
43,17,52.14343930863906,0.009892941852185,133.45015344900025,85.00843389126968,318.68703650717725,363.6125323447541,0.8547745650317065,0.0369460532780262,3.642277352845485,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.5,25.0,LOW
42,2,37.36225431274881,0.0024239564990248,156.73670741144036,70.56992038998722,755.534275474352,488.3628729479721,0.7224731616889231,0.0843288341519841,3.867258490083133,3.0,2.0,3.0,6.0,1.0,2.0,6.0,2.5,25.0,LOW
17,2,30.63759031263974,0.0382309941520467,163.9564088636244,216.35610810869,530.5497750810785,579.2908288392316,0.5191915154059468,0.0449927493479467,2.887181082209753,4.0,3.0,4.0,6.0,3.0,1.0,4.0,3.4,40.0,LOW
69,11,16.64871412029911,0.1422095363753166,431.2817413661882,409.2496560056877,1596.108854303267,886.7244929615697,0.34,0.47,2.2928109929494656,9.0,5.0,5.0,2.0,5.0,6.0,4.0,5.5,75.0,HIGH
41,15,33.902058167427704,0.0042025052823937,96.18718140089726,105.4749328275754,452.38306018242537,429.5695377596256,0.8539660285276149,0.0514667171812182,3.135637114320017,3.0,2.0,2.0,5.0,3.0,2.0,4.0,2.5,25.0,LOW
11,0,22.48297845123209,0.1421818294228569,153.4370015726611,206.2668735369989,471.92173360316167,541.7656317941063,0.6426974257473421,0.1930542184679203,2.316286075955209,5.0,4.0,5.0,6.0,2.0,4.0,3.0,4.2,53.3,MEDIUM
64,8,14.52332682775289,0.0433584913527748,383.31237580531706,317.1008311036051,1447.8376976363152,745.2668132053842,0.4631400197680019,0.3384487303725183,1.1,7.0,7.0,6.0,1.0,5.0,5.0,2.0,5.5,75.0,HIGH
32,20,33.76405832748958,0.004080764617723,146.73996298201538,92.88169777017254,493.3403311333928,412.25611323677975,0.8248422620218275,0.0428011327354929,3.180666088504469,1.0,2.0,2.0,4.0,3.0,1.0,7.0,2.4,23.3,LOW
60,10,20.40064634485805,0.0513479756038581,289.8323427415355,475.0,843.5987344137579,783.7835740029163,0.4097498964301367,0.4290808554808305,2.019385665178016,7.0,7.0,7.0,3.0,6.0,6.0,3.0,5.8,80.0,HIGH
30,12,25.0,0.06,103.74055572725104,93.37398097263916,381.0753455740096,545.5158416704722,0.8271968676290323,0.0562875091112955,3.3137007966378547,2.0,3.0,4.0,7.0,3.0,1.0,5.0,2.5,25.0,LOW
44,18,25.0,0.0098992534756188,86.0,91.21624042964962,250.0,507.24985021430535,0.794178411621449,0.1184460062773809,3.589445962575883,3.0,2.0,3.0,6.0,3.0,1.0,6.0,2.5,25.0,LOW
86,0,30.12877668388768,0.1,180.2085357601844,122.67745298135269,1134.0169526024576,695.1144977688907,0.6889354692527546,0.2719178465576616,3.2214465059805635,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,50.0,MEDIUM
53,8,15.439998777369055,0.16,276.8257309630937,269.159373444858,1301.4351287456473,694.8815701243943,0.34,0.4358361727318521,2.891515496295471,5.0,6.0,6.0,3.0,5.0,6.0,2.0,5.5,75.0,HIGH
2,25,21.145717764315613,0.1138731372321219,227.2540435362362,249.17955760826388,840.6611337643157,777.1714776534858,0.640690883599367,0.2607865968158101,2.979001299733391,8.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,66.7,MEDIUM
